codigo_cuoc_2022;denominacion_cuoc_2022
31520.032;Segundo oficial de barco
31520.033;Superintendente marino de cubierta
31520.034;Tercer oficial de barco
3153;Pilotos, ingenieros e instructores de vuelo
31530;Pilotos, ingenieros e instructores de vuelo
31530.001;Astronauta
31530.002;Capitán de aviación
31530.003;Copiloto de aeronave
31530.004;Fumigador aéreo
31530.005;Ingeniero de vuelo
31530.006;Instructor de vuelo
31530.007;Navegante de vuelo
31530.008;Oficial de tripulación de aerolínea
31530.009;Oficial mecánico de vuelo
31530.010;Oficial navegante de vuelo
31530.011;Piloto de aerolínea
31530.012;Piloto de aeronave
31530.013;Piloto de avión
31530.014;Piloto de fumigación
31530.015;Piloto de helicóptero
31530.016;Piloto de hidroavión
31530.017;Piloto de prueba
31530.018;Piloto de prueba de aeronave
31530.019;Piloto instructor
31530.020;Piloto militar
31530.021;Pulverizador aéreo de cultivos
3154;Controladores de tráfico aéreo, marítimo y ferroviario
31540;Controladores de tráfico aéreo, marítimo y ferroviario
31540.001;Controlador de tráfico aéreo
31540.002;Controlador de tráfico marítimo
31540.003;Inspector de transporte aéreo
31540.004;Operador de equipos de control de tráfico aéreo
31540.005;Operador de señales de parqueo para aviones
31540.006;Operador radar
31540.007;Operador sonar
31540.008;Parqueador de aviones de torre de control
3155;Técnicos en seguridad aeronáutica e instrumentos de aeronavegación
31550;Técnicos en seguridad aeronáutica e instrumentos de aeronavegación
31550.001;Ingeniero de seguridad de tráfico aéreo
31550.002;Inspector de condiciones vuelo
31550.003;Inspector de instrumentos de aeronavegación
31550.004;Navegante en seguridad aeronáutica
31550.005;Operario de revisión prevuelo
31550.006;Técnico de instrumentos de aeronaves
31550.007;Técnico de seguridad de tráfico aéreo
31550.008;Técnico instrumentos aeronavegación
32;TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD  
321;Técnicos médicos y farmacéuticos
3211;Técnicos en aparatos de diagnóstico y tratamiento médico
32111;Técnicos y tecnólogos en imágenes diagnósticas
32111.011;Operador de equipo médico de rayos x
32111.012;Operador de escáner de medicina
32111.014;Operador de radiografía
32111.017;Operador scanner de imágenes diagnosticas
32111.018;Radiógrafo
32111.019;Radiógrafo de diagnóstico médico
32111.021;Técnico de densitometría
32111.025;Técnico de equipo de escaneo médico
32111.026;Técnico de equipo de exploración médica
32111.031;Técnico de equipos de rayos x médicos
32111.032;Técnico de escanografía
32111.034;Técnico de imágenes de resonancia magnética
32111.035;Técnico de imágenes diagnósticas
32111.037;Técnico de mamografía
32111.038;Técnico de radiografía
32111.039;Técnico de rayos X
32111.041;Tecnólogo de escáner cerebral
32111.042;Tecnólogo de imágenes diagnósticas
32111.043;Tecnólogo de imágenes médicas
32111.044;Tecnólogo de imágenes por resonancia magnética
32111.045;Tecnólogo de mamografía
32111.046;Tecnólogo de neurodiagnóstico
32111.047;Tecnólogo de tomografía asistida por ordenador
32111.048;Tecnólogo de tomografía computarizada
32112;Técnicos en radioterapia
32112.001;Radioterapeuta
32112.002;Técnico de radiación
32112.003;Técnico de radiología médica
32112.004;Técnico de radioterapia
32112.005;Técnico radiólogo
32112.006;Tecnólogo de radiación
32112.007;Tecnólogo de radiología
32112.008;Tecnólogo de radiología médica
32112.009;Tecnólogo de radioterapia
32112.010;Tecnólogo de terapia de radiación
32112.011;Tecnólogo radiólogo
32112.012;Tecnólogo radioterapeuta
32112.013;Terapeuta de radiación médica
32113;Técnicos en medicina nuclear
32113.001;Técnico de medicina nuclear
32113.002;Tecnólogo de medicina nuclear
32113.003;Tecnólogo en manejo de fuentes abiertas de uso diagnóstico y terapéutico
32113.004;Terapeuta de medicina nuclear
32113.005;Técnico de gammagrafía
32119;Otros técnicos en aparatos de diagnóstico y tratamiento médico no clasificados en otras ocupaciones
32119.001;Operador de equipo audiométrico
32119.002;Sonógrafo
32119.003;Técnico de polisomnografía
32119.004;Tecnólogo de polisomnografía
32119.005;Ecografista
32119.006;Operador de audiometría
32119.007;Operador de electroencefalografía
32119.008;Operador de equipo de electrocardiografía
32119.009;Operador de equipo de escaneo óptico
32119.010;Operador de equipo electroencefalográfico
32119.011;Operador de escáner óptico
32119.012;Operador de ultrasonido médico
32119.013;Operador electrocardiográfico
32119.014;Perfusionista
32119.015;Perfusionista cardiovascular
32119.016;Técnico de ecografía
32119.017;Técnico de electrocardiografía
32119.018;Técnico de electroencefalografía
32119.019;Técnico de equipo electrocardiográfico
32119.020;Técnico de equipo electroencefalográfico
32119.021;Técnico de equipos audiométricos
3212;Técnicos de laboratorios médicos
32120;Técnicos de laboratorios médicos
32120.001;Asistente de laboratorio clínico
32120.002;Asistente de patología
32120.003;Citohistotecnólogo
32120.004;Citotecnólogo
32120.005;Técnico autopsias
32120.006;Técnico de banco de sangre
32120.007;Técnico de citología
32120.008;Técnico de hematología
32120.009;Técnico de histología
32120.010;Técnico de laboratorio biología
32120.011;Técnico de laboratorio bioquímica
32120.012;Técnico de laboratorio clínico
32120.013;Técnico de laboratorio de patología
32120.014;Técnico de laboratorio médico
32120.015;Técnico de patología
32120.016;Tecnólogo de inmunología clínica
3213;Técnicos y asistentes farmacéuticos
32130;Técnicos y asistentes farmacéuticos
32130.001;Asistente de dispensación de farmacia
32130.002;Asistente farmacéutico
32130.003;Regente de farmacia
32130.004;Técnico de dispensación
32130.005;Técnico de farmacia
32130.006;Técnico de farmacia y droguería
32130.007;Técnico farmacéutico
3214;Técnicos de prótesis médicas y dentales
32141;Técnicos dentales
32141.001;Dentadurista
32141.002;Fabricante de dentaduras
32141.003;Mecánico de mantenimiento de equipo dental
32141.004;Mecánico de prótesis dental
32141.005;Mecánico dental
32141.007;Ortesista
32141.008;Protésico
32141.009;Protesista dental
32141.010;Técnico de mantenimiento equipo dental
32141.011;Técnico de prótesis dentales
32141.012;Técnico dental
32142;Técnicos de órtesis y prótesis médicas
32142.001;Ajustador de prótesis medicas
32142.002;Especialista en aparatos ortopédicos
32142.003;Fabricante de aparatos ortopédicos
32142.004;Fabricante de corsé ortopédico
32142.005;Fabricante de prótesis artificial
32142.006;Fabricante de prótesis medicas
32142.007;Ortoprotesista
32142.008;Protesista
32142.009;Protesista en ortopedia
32142.010;Técnico de órtesis
32142.011;Técnico de prótesis medicas
32142.012;Técnico en desarrollo de productos de asistencia en salud
32142.013;Técnico en productos para la audición
32142.014;Técnico en productos para la cognición y aprendizaje
32142.015;Técnico en productos para personas con limitación en la comunicación
32142.016;Técnico en productos para personas con limitaciones en la movilidad
32142.017;Técnico en productos para personas con limitaciones o definiciencias visuales
32142.018;Técnico en tecnologías de la rehabilitación
32142.019;Técnico ortesis y prótesis
32142.020;Técnico ortopédico
322;Técnicos y profesionales del nivel medio en enfermería y partería
3221;Técnicos y profesionales del nivel medio en enfermería
32210;Técnicos y profesionales del nivel medio en enfermería
32210.001;Asistente de enfermería
32210.002;Enfermera inscrita
32210.003;Enfermera práctica
32210.004;Enfermera profesional del nivel medio
32210.005;Enfermera rural
32210.006;Practicante de enfermería del nivel medio
3222;Técnicos y profesionales del nivel medio en partería
32220;Técnicos y profesionales del nivel medio en partería
32220.001;Aprendiz de partería tradicional
32220.002;Partera
32220.003;Partera asistente
32220.004;Partera principiante
32220.005;Partera profesional del nivel medio
32220.006;Partera tradicional
32220.007;Sabedora de partería tradicional
323;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa 
3230;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa
32301;Técnicos y profesionales del nivel medio en medicina alternativa
32301.001;Acomodador de huesos
32301.002;Naturista
32301.003;Practicante de medicina alternativa
32301.004;Reflexólogo
32301.005;Técnico ayurvédico
32301.006;Técnico de acupuntura
32301.007;Técnico de homeopatía
32301.008;Técnico naturista
32301.009;Terapeuta de ventosas y raspado
32302;Practicantes de medicina tradicional ancestral
32302.001;Aprendiz de medicina tradicional ancestral
32302.002;Chaman
32302.003;Curandero
32302.004;Curandero de pueblo
32302.005;Curandero tradicional
32302.006;Herbolario
32302.007;Herbolario natural
32302.008;Herborista
32302.009;Sanador
32302.010;Sanador a base de hierbas
32302.011;Sanador de pueblo
32302.012;Sanador sin drogas para tratamiento
324;Técnicos y asistentes veterinarios
3240;Técnicos y asistentes veterinarios
32400;Técnicos y asistentes veterinarios
32400.001;Asistente clínico de veterinaria
32400.002;Asistente veterinario
32400.003;Enfermero veterinario
32400.004;Inseminador artificial
32400.005;Inseminador de ganado
32400.006;Técnico veterinario
32400.007;Técnico veterinario de inseminación artificial
32400.008;Vacunador veterinario
32400.009;Vacunador veterinario de aves de granja
325;Otros profesionales de nivel medio de la salud
3251;Higienistas y asistentes odontológicos
32510;Higienistas y asistentes odontológicos
32510.001;Asistente de higiene oral
32510.002;Asistente de odontología
32510.003;Asistente de salud oral
32510.004;Asistente dental
32510.005;Asistente dental de servicio escolar
32510.006;Higienista bucodental
32510.007;Higienista de profilaxis
32510.008;Higienista dental
32510.009;Higienista oral
32510.010;Terapeuta dental
3252;Técnicos en documentación sanitaria
32520;Técnicos en documentación sanitaria
32520.001;Administrador de información de salud
32520.002;Administrador de registros de salud
32520.003;Analista de registros médicos
32520.004;Auxiliar de codificación clínica
32520.005;Auxiliar de información de salud
32520.006;Auxiliar de registros médicos
32520.007;Codificador clínico
32520.008;Coordinador de información de salud
32520.009;Coordinador de registros de salud
32520.010;Supervisor de auxiliares de registros en salud
32520.011;Supervisor de unidad de registros médicos
32520.012;Técnico de información de salud
32520.013;Técnico de información sanitaria
32520.014;Técnico de registro de enfermedades
32520.015;Técnico de registros médicos
3253;Trabajadores comunitarios de la salud
32530;Trabajadores comunitarios de la salud
32530.001;Asistente de planificación familiar
32530.002;Asistente de salud comunitaria
32530.003;Asistente médico de planificación familiar
32530.004;Gestor comunitario
32530.005;Promotor de salud
32530.006;Promotor de salud comunitaria
32530.007;Promotor de salud pública
32530.008;Trabajador de la salud rural
32530.009;Trabajador de salud comunitaria
32530.010;Trabajador rural de salud
3254;Técnicos en óptica
32540;Técnicos en óptica
32540.001;Afinador de lentes de contacto
32540.002;Afinador de lentes de óptica
32540.003;Dispensador de óptica
32540.004;Laboratorista óptico
32540.005;Ocularista
32540.006;Óptico de anteojos
32540.007;Óptico de oftalmología
32540.008;Técnico de anteojos
32540.009;Técnico de lentes de contacto
32540.010;Técnico de óptica
32540.011;Técnico ocularista
3255;Técnicos y asistentes terapeutas
32550;Técnicos y asistentes terapeutas
32550.001;Asistente de fisioterapia
32550.002;Asistente de hidroterapia
32550.003;Asistente de salud relacionada con fisioterapia
32550.004;Asistente de terapia de fisioterapia
32550.005;Asistente técnico de fisioterapia
32550.006;Electroterapeuta
32550.007;Hidroterapeuta
32550.008;Masajista de terapia
32550.009;Técnico de ergoterapia
32550.010;Técnico de fisioterapia
32550.011;Técnico de hidroterapia
32550.012;Técnico podólogo
32550.013;Técnico readaptación profesional
32550.014;Técnico terapéutica dislalias
32550.015;Terapeuta atlético
32550.016;Terapeuta de acupresión
32550.017;Terapeuta de hidroterapia
32550.018;Terapeuta de masaje
32550.019;Terapeuta en digitopuntura
32550.020;Terapeuta masajeador shiatsu
32550.021;Terapeuta shiatsu
3256;Asistentes médicos
32560;Asistentes médicos
32560.001;Asistente clínico
32560.002;Asistente de apoyo médico
32560.003;Asistente de medicina legal
32560.004;Asistente de médico
32560.005;Asistente oftálmico
32560.006;Técnico de transfusión
3257;Inspectores de seguridad, salud ocupacional, medioambiental y afines
32571;Inspectores de sanidad, seguridad y salud ocupacional
32571.001;Funcionario salud ocupacional y seguridad
32571.002;Inspector ambiental
32571.003;Inspector de calidad y protección a consumidores
32571.004;Inspector de contaminación
32571.005;Inspector de departamento de sanidad y salud ambiental
32571.006;Inspector de higiene y seguridad alimentaria
32571.007;Inspector de productos cárnicos
32571.008;Inspector de riesgos profesionales
32571.009;Inspector de salud
32571.010;Inspector de salud ambiental
32571.011;Inspector de salud laboral y ambiental
32571.012;Inspector de salud ocupacional
32571.013;Inspector de salud y seguridad ocupacional
32571.014;Inspector de saneamiento ambiental
32571.015;Inspector de saneamiento básico
32571.016;Inspector de saneamiento y seguridad alimentaria
32571.017;Inspector de sanidad
32571.018;Inspector de seguridad de los productos
32571.019;Inspector de seguridad e higiene
32571.020;Inspector de seguridad industrial
32571.021;Inspector de seguridad y salud
32571.022;Inspector de seguridad y salud de condiciones de trabajo
32571.023;Inspector de seguridad y salud de contaminación
32571.024;Inspector de seguridad y salud de cuidado a los niños
32571.025;Inspector de seguridad y salud de fábricas
32571.026;Inspector de seguridad y salud de mano de obra
32571.027;Inspector de seguridad y salud de protección al consumidor
32571.028;Inspector de seguridad y salud de tiendas
32571.029;Inspector de seguridad y salud en establecimientos
32571.030;Inspector de seguridad y salud industrial
32571.031;Inspector de seguridad y salud industrial de tratamiento de residuos
32571.032;Inspector de seguridad y salud laboral
32571.033;Inspector de seguridad y salud ocupacional de minas
32571.034;Inspector en prevención de riesgos laborales
32571.035;Inspector restaurantes
32571.036;Inspector salud pública
32571.037;Inspector sanidad seguridad y salud ocupacional
32571.038;Inspector sanitario
32571.039;Supervisor de salud ocupacional
32571.040;Supervisor de seguridad e higiene
32571.041;Técnico de salud ocupacional
32572;Coordinadores de sistemas integrados de gestión
32572.001;Coordinación de sistemas de gestión
32572.002;Coordinador de normas y gestión ambiental
32572.003;Coordinador de sanidad vegetal
32572.004;Coordinador de seguridad de minas
32572.006;Supervisor de sanidad vegetal
32572.007;Supervisor de sanidad vegetal de plantación agrícola
32572.008;Supervisor fitosanitario
32573;Técnicos en prevención, gestión y control ambiental
32573.001;Analista de sistemas de gestión
32573.002;Analista de sistemas integrados de gestión
32573.003;Analista HSEQ (salud, seguridad, medio ambiente y calidad)
32573.004;Analista técnico HSEQ (salud, seguridad, medio ambiente y calidad)
32573.005;Auditor de sistemas de gestión
32573.006;Inspector HSEQ (salud, seguridad, medio ambiente y calidad) industria petrolera
32573.007;Promotor de saneamiento
32573.008;Sanitarista
32573.009;Supervisor HSEQ (salud, seguridad, medio ambiente y calidad) industria petrolera
32573.011;Técnico de monitoreo ambiental
32573.012;Técnico de saneamiento
32573.013;Técnico en control ambiental
32573.014;Técnico en prevención ambiental
32573.015;Técnico en prevención, gestión y control ambiental
32573.016;Técnico en salud ambiental
32573.017;Técnico en saneamiento ambiental
32573.018;Técnico en saneamiento básico
32573.019;Técnico sanitario
32573.020;Supervisor de control ambiental
32574;Asistentes en saneamiento ambiental
32574.001;Asistente ambiental
32574.002;Asistente ambiental y saneamiento
32574.003;Asistente en saneamiento ambiental
32574.004;Asistente técnico de sistemas integrados de gestión
32574.005;Auxiliar ambiental
3258;Técnicos en atención prehospitalaria
32580;Técnicos en atención prehospitalaria
32580.001;Asistente de ambulancia
32580.002;Asistente de ambulancia y otras ocupaciones paramédicas
32580.003;Auxiliar de ambulancia
32580.004;Ayudante de ambulancia
32580.005;Coordinador técnico de atención prehospitalaria y ambulancias
32580.006;Empleado de ambulancia
32580.007;Paramédico de ambulancia
32580.008;Paramédico de emergencia
32580.009;Supervisor de atención prehospitalaria y ambulancias
32580.010;Técnico de ambulancia
32580.011;Técnico de emergencia médica
32580.012;Técnico paramédico de ambulancia
32580.013;Técnico paramédico de urgencias
32580.014;Tecnólogo en atención prehospitalaria
32580.015;Trabajador de ambulancia
32580.016;Socorrista
3259;Otros técnicos y profesionales del nivel medio de la salud no clasificados en otros grupos primarios
32590;Otros técnicos y profesionales del nivel medio de la salud no clasificados en no clasificados en otras ocupaciones
32590.001;Asistente de terapia del lenguaje
32590.002;Técnico de ortofonía
32590.003;Técnico de terapia respiratoria
32590.004;Técnico en terapia cardiovascular
32590.005;Tecnólogo de terapia de lenguaje
32590.006;Tecnólogo de terapia respiratoria
32590.007;Tricólogo
33;TECNICOS Y PROFESIONALES DEL NIVEL MEDIO EN LAS FINANZAS Y LA ADMINISTRACION 
331;Técnicos y profesionales del nivel medio en finanzas y matemáticas
3311;Agentes de bolsa, cambio y otros servicios financieros
33110;Agentes de bolsa, cambio y otros servicios financieros
33110.001;Agente de bolsa
33110.002;Agente de bonos
33110.003;Agente de cambios
33110.004;Agente de divisas
33110.005;Agente de fiducia
33110.006;Agente de finanzas
33110.007;Agente de futuros financieros
33110.008;Agente de hipoteca
33110.009;Agente de inversión
33110.010;Agente de valores
33110.011;Agente de valores y acciones
33110.012;Comerciante de derivados
33110.013;Corredor de acciones y obligaciones
33110.014;Corredor de bolsa
33110.015;Corredor de bolsa compartido
33110.016;Corredor de bolsa y divisas
33110.017;Corredor de divisas
33110.018;Corredor de finanzas
33110.019;Corredor de futuros financieros
33110.020;Corredor de hipoteca
33110.021;Corredor de inversión
33110.022;Corredor de valores
33110.023;Corredor de valores y acciones
33110.024;Corredor financiero
33110.025;Intermediario de bolsa
3312;Analistas y asistentes financieros préstamos y créditos
33120;Analistas y asistentes financieros préstamos y créditos
33120.001;Analista de banco de préstamos o créditos
33120.002;Analista de cartera
33120.003;Analista de cobro
33120.004;Analista de crédito
33120.005;Analista de crédito y cobranzas
33120.006;Analista de evaluación de préstamos o créditos
33120.007;Analista de hipoteca
33120.008;Analista de normalización
33120.009;Analista de préstamos
33120.010;Analista de préstamos bancarios
33120.011;Analista de préstamos para vivienda
33120.012;Analista de riesgos de evaluación de solvencia de los clientes
33120.013;Analista de servicios financieros
33120.014;Analista financiero de evaluación de solvencia de los clientes
33120.016;Asegurador de hipotecas
33120.017;Asegurador de préstamos
33120.018;Asesor de cobranzas
33120.019;Asesor de crédito
33120.020;Asesor de prestamos
33120.021;Asistente de cartera
33120.022;Asistente de servicios financieros
33120.023;Coordinador de cartera
33120.024;Funcionario de créditos hipotecarios o préstamos
33120.025;Funcionario de finanzas para aprobar, evaluar y tramitar préstamos
33120.026;Funcionario de préstamos o acuerdos financieros
33120.027;Jefe análisis de cuentas
33120.028;Jefe cobranzas
33120.029;Oficial de hipotecas
33120.030;Oficial de préstamos
33120.031;Procesador de préstamos
33120.032;Secretario de finanzas aprobación de créditos o préstamos
33120.033;Supervisor ??de financiación de crédito
33120.034;Supervisor crédito
33120.035;Supervisor de cuenta financiero
33120.036;Supervisor de entidades financieras
33120.037;Tasador de préstamos
33120.038;Técnico de análisis de crédito
3313;Técnicos de contabilidad, asistentes y afines
33131;Asistentes contables
33131.001;Analista contable de inventarios
33131.002;Analista de contabilidad
33131.003;Analista de cuentas
33131.004;Asistente auditoria
33131.005;Asistente central de cuentas por pagar
33131.006;Asistente contable
33131.007;Asistente de contabilidad
33131.008;Asistente de costos
33131.009;Asistente de cuentas
33131.010;Asistente revisoría fiscal
33132;Asistentes financieros
33132.001;Asistente de costos financiero
33132.002;Asistente de planeación financiera
33132.003;Asistente de presupuesto
33132.004;Asistente financiero
33133;Asistentes tesorería
33133.001;Analista de tesorería
33133.002;Asistente de pagos y desembolsos
33133.003;Asistente de tesorería
33134;Técnicos de contabilidad y afines
33134.001;Analista de nómina
33134.002;Asistente de auditoría contable
33134.003;Coordinador cuentas ahorros
33134.004;Tenedor de libros
3314;Técnicos y profesionales del nivel medio de servicios estadísticos, matemáticos y afines
33140;Técnicos y profesionales del nivel medio de servicios estadísticos, matemáticos y afines
33140.001;Asistente actuarial
33140.002;Asistente estadístico
33140.003;Asistente matemático
3315;Tasadores, avaluadores y liquidadores de seguros
33150;Tasadores, avaluadores y liquidadores de seguros
33150.001;Analista de indemnizaciones
33150.002;Analista de siniestros
33150.003;Analista de suscripción
33150.004;Asesor de pérdida
33150.005;Asesor de seguros
33150.006;Avaluador
33150.007;Avaluador de arte y patrimonio cultural mueble
33150.008;Avaluador de bienes
33150.009;Avaluador de bienes raíces
33150.010;Avaluador de negocios
33150.011;Avaluador de patrimonio cultural inmueble
33150.012;Avaluador de reclamos
33150.013;Avaluador de riesgos
33150.014;Avaluador de seguros
33150.015;Avaluador de siniestros
33150.016;Avaluador liquidador seguros
33150.017;Evaluador
33150.018;Evaluador de bienes
33150.019;Evaluador de bienes raíces
33150.020;Evaluador de negocios
33150.021;Evaluador de reclamos
33150.022;Evaluador de riesgos
33150.023;Evaluador de seguros
33150.024;Evaluador de siniestros
33150.025;Evaluador liquidador seguros
33150.026;Examinador de reclamaciones
33150.027;Inspector de reclamaciones
33150.028;Inspector de seguros y reclamaciones
33150.029;Inspector de siniestros
33150.030;Liquidador de reclamaciones y seguros
33150.031;Liquidador de seguros
33150.032;Martillero de subastas públicas
33150.033;Perito avaluador
33150.034;Perito de seguros
33150.035;Perito evaluador
33150.036;Perito tasador
33150.037;Rematador de subasta
33150.038;Representante de reclamaciones de seguros
33150.039;Representante tasador de seguro
33150.040;Supervisor avalúos y reclamos
33150.041;Tasador
33150.042;Tasador de bienes raíces
33150.043;Tasador de reclamaciones
33150.044;Tasador de seguros
33150.045;Tasador de siniestros
33150.046;Técnico avalúos
33150.047;Técnico en tasador
33150.048;Valuador
332;Agentes comerciales y corredores
3321;Agentes y corredores de seguros
33210;Agentes y corredores de seguros
33210.001;Agente corredor de seguros
33210.002;Agente de seguros
33210.003;Agente de seguros colectivos
33210.004;Agente de ventas de seguros
33210.005;Analista de reaseguros
33210.006;Analista de seguros
33210.007;Asegurador
33210.008;Corredor de seguros
33210.009;Negociador de seguros
33210.010;Representante de ventas de seguros
33210.011;Suscriptor de seguros
33210.012;Vendedor de seguros
3322;Representantes comerciales
33220;Representantes comerciales
33220.001;Agente comercial de ventas
33220.002;Agente de ventas de industria manufacturera
33220.003;Agente de ventas de negocios
33220.004;Agente ventas
33220.005;Asesor comercial
33220.006;Asesor comercial de cesantías
33220.007;Asesor comercial de entidades financieras
33220.008;Asesor comercial de fondos de pensiones y cesantías
33220.009;Asesor comercial fondos
33220.010;Asesor comercial ventas no técnicas
33220.011;Asesor de servicio de postventa
33220.012;Asesor ventas
33220.013;Consejero de servicios postventa
33220.014;Consultor de ventas de manufactura
33220.015;Corredor comercial
33220.016;Ejecutivo de cuenta de ventas de manufactura
33220.017;Ejecutivo de cuenta de ventas no técnicas
33220.018;Ejecutivo de ventas no técnicas
33220.019;Promotor de ventas
33220.020;Representante comercial
33220.021;Representante de fábrica
33220.022;Representante de ventas
33220.023;Representante de ventas de comercio
33220.024;Representante de ventas de fabricación no técnicas
33220.025;Representante de ventas de industria manufacturera
33220.026;Representante de ventas mayorista
33220.027;Representante de ventas no técnicas
33220.028;Representante ventas comercio al por mayor
33220.029;Vendedor de fabricación
33220.030;Vendedor de servicios financieros
33220.031;Vendedor de ventas no técnicas
33220.032;Vendedor externo
33220.033;Vendedor interno ventas no técnicas
33220.034;Vendedor técnico
33220.035;Vendedor viajero
33220.036;Viajero comercial
33220.037;Visitador comercial
3323;Agentes de compras
33230;Agentes de compras
33230.001;Agente de adquisiciones
33230.002;Agente de compras
33230.003;Agente de suministros
33230.004;Agente intermediario compras
33230.005;Analista de compras
33230.006;Analista de compras e importaciones
33230.007;Analista de compras y suministros
33230.008;Asistente de adquisiciones
33230.009;Asistente de compras
33230.010;Asistente de compras de materiales
33230.011;Asistente de compras y adquisiciones
33230.012;Comprador
33230.013;Comprador de comercio mayorista
33230.014;Comprador de comercio minorista
33230.015;Comprador de manufactura y procesamiento
33230.016;Comprador de materia prima
33230.017;Comprador de mercancía de comercio minorista
33230.018;Comprador de suministros
33230.019;Comprador y técnico de mercadeo
33230.020;Cotizador
3324;Agentes de operaciones comerciales y consignatarios
33240;Agentes de operaciones comerciales y consignatarios
33240.001;Agente comercial de materias primas
33240.002;Agente comercial de textiles
33240.003;Agente de compra de ganado
33240.004;Agente de futuros de materias primas
33240.005;Agente de mercadería a futuro
33240.006;Agente de operaciones comerciales
33240.007;Consignatario
33240.008;Corredor de productos básicos
33240.009;Corredor de transporte
33240.010;Corredor marítimo
33240.011;Intermediario de comercio
333;Agentes de servicios empresariales
3331;Declarantes o gestores de aduana
33311;Asistentes de comercio exterior
33311.001;Agente de exportación
33311.002;Agente de importación
33311.003;Agente liquidación de comercio exterior
33311.004;Agente transacción comercio exterior
33311.005;Asistente de comercio exterior
33311.006;Asistente de exportaciones
33311.007;Asistente de importaciones
33311.008;Coordinador de aduanas
33311.009;Coordinador de exportaciones
33311.010;Coordinador de importaciones
33311.011;Coordinador de operaciones aduaneros
33311.012;Coordinador de servicio al cliente de servicios aduaneros
33312;Gestores y agentes de servicios de aduana
33312.001;Agente carga y aduana
33312.002;Agente de carga
33312.003;Agente de embarque
33312.004;Agente de envío
33312.005;Agente marítimo
33312.006;Agente portuario
33312.007;Corredor de aduana
33312.008;Gestor de aduana
33312.009;Representante aduanero
33312.010;Tramitador de documentos de aduana
3332;Coordinadores y productores de conferencias, eventos y espectáculos
33320;Coordinadores y productores de conferencias, eventos y espectáculos
33320.001;Administrador de conferencia
33320.002;Administrador de cuenta organización de conferencias o eventos
33320.003;Administrador de eventos
33320.004;Agente de contratación de espectáculos
33320.005;Consultor de gestión de eventos
33320.006;Coordinador área back stage
33320.007;Coordinador convención
33320.008;Coordinador de acomodación
33320.009;Coordinador de acreditaciones
33320.010;Coordinador de activaciones y patrocinios
33320.011;Coordinador de boda
33320.012;Coordinador de camerinos
33320.013;Coordinador de cineclub
33320.014;Coordinador de cinema
33320.015;Coordinador de conferencia
33320.016;Coordinador de espectáculos
33320.017;Coordinador de eventos
33320.018;Coordinador de FHO (factores humanos y organizativos)
33320.019;Coordinador de front
33320.020;Coordinador de función
33320.021;Coordinador de invitados y personalidades
33320.022;Coordinador de montaje
33320.023;Coordinador de PMU (puesto de mando unificado)
33320.024;Coordinador filtros
33320.025;Coordinador general de logística VAS
33320.026;Coordinador prefiltros
33320.027;Coordinador protocolo
33320.028;Ejecutivo comercial de eventos y banquetes
33320.029;Gestor de espectáculos públicos
33320.030;Gestor de eventos
33320.031;Jefe de acomodación
33320.032;Jefe de acreditaciones
33320.033;Jefe de montaje
33320.034;Jefe zona VIP
33320.035;Oficial de protocolo
33320.036;Operador logístico prensa
33320.037;Organizador de conferencias y eventos
33320.038;Organizador de convención
33320.039;Organizador de convenciones de arte y cultura
33320.040;Organizador de espectáculo
33320.041;Organizador de exposición
33320.042;Organizador de festival
33320.043;Organizador de funciones
33320.044;Organizador de muestras comerciales
33320.045;Organizador eventos
33320.046;Planeador de eventos
33320.047;Planificador de boda
33320.048;Planificador de conferencias
33320.049;Productor de conferencia
33320.050;Productor de eventos
33320.051;Productor de eventos digitales
33320.052;Productor de shows artísticos
33320.053;Productor técnico de espectáculos
33320.054;Programador de eventos musicales
33320.055;Programador de festival audiovisual
33320.056;Regidor de escenario
33320.057;Representante de recepción de bodas
33320.058;Stage manager
33320.059;Wedding planner
3333;Agentes de empleo y contratistas de mano de obra
33330;Agentes de empleo y contratistas de mano de obra
33330.001;Agente de empleo
33330.002;Agente de oficina colocación de empleo
33330.003;Agente de selección
33330.004;Asesor servicio de empleo
33330.005;Contratista de mano de obra
33330.006;Funcionario de servicio de empleo
33330.007;Intermediario contratista de mano de obra
33330.008;Técnico servicio de empleo
3334;Agentes inmobiliarios
33340;Agentes inmobiliarios
33340.001;Agente de bienes raíces
33340.002;Agente de finca raíz
33340.003;Agente inmobiliario
33340.004;Asesor inmobiliario
33340.005;Auxiliar de gestión inmobiliaria
33340.006;Auxiliar de tierras en gestión inmobiliaria
33340.007;Corredor de bienes raíces
33340.008;Corredor de finca raíz
33340.009;Corredor de propiedad raíz
33340.010;Gestor inmobiliario
33340.011;Representante de ventas en finca raíz
33340.012;Vendedor de bienes raíces
33340.013;Vendedor de finca raíz
33340.014;Vendedor de propiedades
3339;Agentes de servicios comerciales no clasificados en otros grupos primarios
33391;Agentes y promotores artísticos y deportivos
33391.001;Agente de actuación musical
33391.002;Agente de booking
33391.003;Agente de casting
33391.004;Agente de sellos discográficos
33391.005;Agente de ventas de contenidos audiovisuales
33391.006;Agente deportivo
33391.007;Agente literario
33391.008;Agente musical
